kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,planet_type
10797460,K00752.01,Kepler-227 b,CONFIRMED,1.0,9.48803557,2.26,793.0,93.59,5455.0,0.927,Neptunian (Ice Giant)
10797460,K00752.02,Kepler-227 c,CONFIRMED,0.969,54.4183827,2.83,443.0,9.11,5455.0,0.927,Neptunian (Ice Giant)
10811496,K00753.01,Unconfirmed Candidate,CANDIDATE,0.0,19.89913995,14.6,638.0,39.3,5853.0,0.868,Gas Giant (Jupiter-size)
10848459,K00754.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.736952453,33.46,1395.0,891.96,5805.0,0.791,Gas Giant (Jupiter-size)
10854555,K00755.01,Kepler-664 b,CONFIRMED,1.0,2.525591777,2.75,1406.0,926.16,6031.0,1.046,Neptunian (Ice Giant)
10872983,K00756.01,Kepler-228 d,CONFIRMED,1.0,11.09432054,3.9,835.0,114.81,6046.0,0.972,Neptunian (Ice Giant)
10872983,K00756.02,Kepler-228 c,CONFIRMED,1.0,4.13443512,2.77,1160.0,427.65,6046.0,0.972,Neptunian (Ice Giant)
10872983,K00756.03,Kepler-228 b,CONFIRMED,0.992,2.56658897,1.59,1360.0,807.74,6046.0,0.972,Super-Earth
6721123,K00114.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,7.36178958,39.21,1342.0,767.22,6227.0,1.958,Gas Giant (Jupiter-size)
10910878,K00757.01,Kepler-229 c,CONFIRMED,1.0,16.06864674,5.76,600.0,30.75,5031.0,0.848,Neptunian (Ice Giant)
11446443,K00001.01,Kepler-1 b,CONFIRMED,0.811,2.470613377,13.04,1339.0,761.46,5820.0,0.964,Gas Giant (Jupiter-size)
10666592,K00002.01,Kepler-2 b,CONFIRMED,1.0,2.204735417,16.1,2048.0,4148.92,6440.0,1.952,Gas Giant (Jupiter-size)
6922244,K00010.01,Kepler-8 b,CONFIRMED,0.998,3.522498429,14.59,1521.0,1264.67,6225.0,1.451,Gas Giant (Jupiter-size)
10984090,K00112.02,Kepler-466 c,CONFIRMED,1.0,3.709214104,1.16,1206.0,500.46,5833.0,1.022,Terrestrial (Earth-size)
10419211,K00742.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,11.52144606,150.51,753.0,75.88,5795.0,0.848,Gas Giant (Jupiter-size)
10464078,K00743.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,19.40393776,7.18,523.0,17.69,5043.0,0.68,Gas Giant (Jupiter-size)
10480982,K00744.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,19.22138894,49.29,698.0,55.97,6117.0,0.947,Gas Giant (Jupiter-size)
10485250,K00745.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,16.46983774,7.94,595.0,29.61,5152.0,0.786,Gas Giant (Jupiter-size)
10526549,K00746.01,Kepler-660 b,CONFIRMED,1.0,9.27358173,2.47,649.0,41.85,4856.0,0.696,Neptunian (Ice Giant)
10583066,K00747.01,Kepler-661 b,CONFIRMED,1.0,6.02930329,2.85,678.0,50.04,4537.0,0.672,Neptunian (Ice Giant)
10583180,K00748.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.696370652,1.58,1066.0,305.34,4989.0,0.819,Super-Earth
10601284,K00749.01,Kepler-226 c,CONFIRMED,1.0,5.349553819,2.55,919.0,168.99,5185.0,0.91,Neptunian (Ice Giant)
10601284,K00749.02,Kepler-226 b,CONFIRMED,0.98,3.94105221,1.7,1018.0,253.15,5185.0,0.91,Super-Earth
10601284,K00749.03,Kepler-226 d,CONFIRMED,0.971,8.10904807,1.3,800.0,97.03,5185.0,0.91,Super-Earth
10662202,K00750.01,Kepler-662 b,CONFIRMED,1.0,21.67699193,2.95,530.0,18.64,4954.0,0.828,Neptunian (Ice Giant)
10682541,K00751.01,Kepler-663 b,CONFIRMED,1.0,4.99677968,2.78,917.0,166.95,5339.0,0.847,Neptunian (Ice Giant)
11460018,K00769.01,Kepler-671 b,CONFIRMED,1.0,4.280963604,2.3,1012.0,247.87,5644.0,0.831,Neptunian (Ice Giant)
11463211,K00770.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.50635409,4.53,1452.0,1054.12,5714.0,0.831,Neptunian (Ice Giant)
11465813,K00771.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,670.645531,14.14,196.0,0.35,5520.0,0.983,Gas Giant (Jupiter-size)
11493732,K00772.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,61.2563628,39.87,505.0,15.43,6144.0,1.091,Gas Giant (Jupiter-size)
11507101,K00773.01,Kepler-672 b,CONFIRMED,1.0,38.3775486,2.82,529.0,18.53,5481.0,1.036,Neptunian (Ice Giant)
10910878,K00757.02,Kepler-229 d,CONFIRMED,0.992,41.19725502,3.86,439.0,8.76,5031.0,0.848,Neptunian (Ice Giant)
10910878,K00757.03,Kepler-229 b,CONFIRMED,1.0,6.252962249,2.65,823.0,108.3,5031.0,0.848,Neptunian (Ice Giant)
10987985,K00758.01,Kepler-665 b,CONFIRMED,1.0,16.01308419,3.1,593.0,29.31,5015.0,0.826,Neptunian (Ice Giant)
11018648,K00759.01,Kepler-230 b,CONFIRMED,1.0,32.62876672,3.36,506.0,15.55,5586.0,0.798,Neptunian (Ice Giant)
11018648,K00759.02,Kepler-230 c,CONFIRMED,0.978,91.7732862,2.12,359.0,3.92,5586.0,0.798,Neptunian (Ice Giant)
11138155,K00760.01,Unconfirmed Candidate,CANDIDATE,1.0,4.959319244,12.21,1103.0,349.4,5712.0,1.082,Gas Giant (Jupiter-size)
11152159,K00761.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.701287801,6.54,1222.0,527.81,5550.0,0.91,Gas Giant (Jupiter-size)
11153539,K00762.01,Kepler-666 b,CONFIRMED,1.0,4.49876511,2.1,1133.0,389.62,6075.0,0.969,Neptunian (Ice Giant)
11242721,K00763.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,19.65120951,12.42,730.0,67.03,6074.0,1.063,Gas Giant (Jupiter-size)
9579641,K00115.01,Kepler-105 b,CONFIRMED,1.0,5.412203927,2.94,1093.0,337.68,5779.0,1.087,Neptunian (Ice Giant)
11304958,K00764.01,Kepler-667 b,CONFIRMED,0.998,41.43958662,5.5,516.0,16.72,5468.0,1.046,Neptunian (Ice Giant)
11391957,K00765.01,Kepler-668 b,CONFIRMED,1.0,8.35389523,2.52,790.0,91.9,5592.0,0.787,Neptunian (Ice Giant)
11403044,K00766.01,Kepler-669 b,CONFIRMED,1.0,4.125543472,4.43,1243.0,565.35,6174.0,1.103,Neptunian (Ice Giant)
11414511,K00767.01,Kepler-670 b,CONFIRMED,1.0,2.816504904,12.21,1219.0,521.13,5532.0,0.955,Gas Giant (Jupiter-size)
11442465,K00768.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,33.93373447,7.34,430.0,8.11,5040.0,0.705,Gas Giant (Jupiter-size)
12110942,K00786.01,Kepler-680 b,CONFIRMED,1.0,3.689920099,1.89,1147.0,408.99,5880.0,0.917,Super-Earth
12366084,K00787.01,Kepler-232 b,CONFIRMED,1.0,4.431238488,3.25,1104.0,351.23,5714.0,1.015,Neptunian (Ice Giant)
12366084,K00787.02,Kepler-232 c,CONFIRMED,1.0,11.37936986,3.95,806.0,99.68,5714.0,1.015,Neptunian (Ice Giant)
12404086,K00788.01,Kepler-681 b,CONFIRMED,1.0,26.39432897,3.07,489.0,13.49,5129.0,0.763,Neptunian (Ice Giant)
8395660,K00116.01,Kepler-106 c,CONFIRMED,1.0,13.57078281,2.64,785.0,89.61,5854.0,1.012,Neptunian (Ice Giant)
9579641,K00115.02,Kepler-105 c,CONFIRMED,1.0,7.12594387,1.79,997.0,233.31,5779.0,1.087,Super-Earth
11656840,K00774.01,Unconfirmed Candidate,FALSE POSITIVE,0.014,7.442652004,15.03,967.0,206.78,6108.0,0.956,Gas Giant (Jupiter-size)
11754553,K00775.01,Kepler-52 c,CONFIRMED,1.0,16.38489988,2.0,433.0,8.35,4126.0,0.615,Neptunian (Ice Giant)
11754553,K00775.02,Kepler-52 b,CONFIRMED,1.0,7.8774163,2.16,553.0,22.18,4126.0,0.615,Neptunian (Ice Giant)
11754553,K00775.03,Kepler-52 d,CONFIRMED,1.0,36.4454001,1.99,332.0,2.88,4126.0,0.615,Super-Earth
11812062,K00776.01,Kepler-673 b,CONFIRMED,1.0,3.728732147,6.02,1023.0,258.34,5497.0,0.809,Gas Giant (Jupiter-size)
